"# of Use","Nb d'utilisations"
"%1$s incl tax.","%1$s TTC"
"%s - %s","%s - %s"
"%s Item(s)","%s article(s)"
"Template","Gabarit"
"Text","Texte"
"There are no %s available.","Aucun(e) %s disponible"
"There are no customers for this alert","Il n'y a aucun client pour cette alerte"
"There are no products matching the selection.","Aucun produit ne correspond à la sélection"
"There was an error while adding products to websites","Erreur lors de l'ajout des produits aux sites web"
"There was an error while cleared compare list","Erreur lors de l'effacement de la liste des produits à comparer"
"There was an error while removing products from websites","Erreur lors de la suppression des produits des sites web"
"There was an error while updating product(s) attributes","Erreur lors de la mise à jour des attributs de produits"
"There was an error while updating product(s) status","Erreur lors de la mise à jour du statut de produits"
"This attribute no longer exists","Cette attribut n'existe plus"
"This Product no longer exists","Ce produit n'existe plus"
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Cet attribut est utilisé dans des produits configurables. Vous ne pouvez pas le retirer de ce groupe d\'attribut."
"This attribute no longer exists","Cette attribut n'existe plus"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Ce groupe contient des attributs utilisés dans des produits configurables. Déplacez ces attributs dans un autre groupe et réessayez."
"This group contains system attributes. Please move system attributes to another group and try again.","Ce groupe contient des attributs système. Veuillez déplacer les attributs système vers un autre groupe et réessayer."
"This is a required option","Cette option est requise"
"This search no longer exists","Cette recherche n'existe plus"
"Tier pricing","Tarification par palier"
"Tile","Mosaïque"
"Time format","format d'heure"
"Title","Titre"
"Top/Left","En haut à gauche"
"Top/Right","En haut à droite"
"Total Qty Base Items","Quantité totale d'articles de base"
"Total incl. Tax: %1$s","Total TTC : %1$s"
"Total of %d record(s) were successfully deleted","%d enregistrement(s) ont bien été effacés"
"Total of %d record(s) were successfully updated","%d enregistrement(s) ont bien été mis à jour"
"Type","Type"
"URL Rewrite Management","Gestion de la ré-écriture d'URL"
"URL rewrite save problem.","Problème de sauvegarde de ré-écriture d'URL."
"Unable to complete request. Please try again later.","Impossible de terminer la requête. Veuillez réessayer ultérieurement"
"Unable to find a search term to delete","Impossible de trouver un terme de recherche à effacer"
"Unable to find an attribute to delete","Impossible de trouver un attribut à supprimer"
"Unable to get product id.","Impossible d'obtenir l'id produit"
"Unassigned Attributes","Attributs non assignés"
"Unknown attribute: %s","Attribut inconnu : %s"
"Unknown eav indexer type ""%s""","Type ""%s"" d'indexation EAV inconnu"
"Unsupported product type ""%s""","Produit de type ""%s"" non supporté"
"Up-sells","Ventes incitatives"
"Update","Mettre à jour"
"Update Attributes","Mettre à jour les attributs"
"Update Tier Price","Mettre à jour les prix par palier"
"Update assigned product","Mettre à jour le produit assigné"
"Update attributes","Modifier les attributs"
"Update category","Mettre à jour la catégorie"
"Update product","Mettre à jour le produit"
"Update product image","Mettre à jour l'image du produit"
"Update product link","Mettre à jour le lien du produit"
"Update product tier prices","Mettre à jour les prix par palier"
"Upload new product image ","Télécharger une nouvelle image pour le produit"
"Url Rewrite Management","Gestion de la réécriture d'URL"
"Use Canonical Link Meta Tag For Categories","Utiliser un lien canonique de meta tag pour les catégories"
"Use Canonical Link Meta Tag For Products","Utiliser un lien canonique de meta tag pour les produits"
"Use Config Settings","Utiliser les paramètres de la configuration"
"Use Default Value","Utiliser la valeur par défaut"
"Use Flat Catalog Category","Utiliser une catégorie de catalogue fixe"
"Use Flat Catalog Product","Utiliser un produit de catalogue fixe"
"Use In Layered Navigation","Utiliser dans la navigation par filtres"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Utiliser dans la navigation par filtres<br/>(Utilisable uniquement avec le type de saisie 'Liste déroulante')"
"Use In Search Results Layered Navigation","Utiliser dans la navigation par filtres des résultats de recherche"
"Use JavaScript Calendar","Utiliser le calendrier JavaScript"
"Use To Create Configurable Product","Utiliser pour créer un produit configurable"
"Use Tree Like Category Sitemap","Utiliser l'arborescence des catégories pour le plan de site"
"Use categories path for product URLs","Utiliser l'arborescence des catégories pour l'URL des produits"
"Use default","Utilisation par défaut"
"Use for Price Rule Conditions","Utiliser dans les conditions de règle de prix"
"Use in advanced search","Utiliser dans la recherche avancée"
"Use in quick search","Utiliser dans la recherche rapide"
"Used for sorting in product listing","Utilisé pour trier la liste de produit"
"Used in product listing","Utilisé dans la liste de produits"
"Varchar","Varchar"
"View as","Afficher en"
"Virtual Product","Produit virtuel"
"Visibility","Visibilité"
"Visible","Visible"
"Visible on Catalog Pages on Front-end","Visible sur les pages du magasin"
"Visible on Product View Page on Front-end","Visible sur la page produit du magasin"
"WYSIWYG Editor","Éditeur WYSIWYG"
"Watermark","Filigrane"
"Watermark Default Size","Taille par défaut du filigrane"
"Watermark Opacity, Percent","Pourcentage d'opacité du filigrane"
"Watermark Position","Positionnement du filigrane"
"We Also Recommend","Nous vous recommandons également"
"Website","Site web"
"Websites","Sites web"
"Wrong BuyRequest instance in options group","Instance de requête d'achat incorrecte dans le groupe d'options"
"Wrong option instance type in options group","Instance d'option incorrecte dans le groupe d'options"
"Wrong option type to get group instance.","Type d'option incorrect pour récupérer l'instance de groupe."
"Wrong product instance type in options group","Type d'instance produit incorrect dans le groupe d'options"
"Wrong product type filter specified","Filtre de type de produit incorrect"
"Wrong quote item instance in options group","Instance d'article incorrecte dans le groupe d'options"
"Wrong quote item option instance in options group","Instance d'option d'article incorrecte dans le groupe d'options"
"Year Range","Période annuelle"
"Yes","Oui"
"You cannot delete this attribute","Vous ne pouvez pas supprimer cet attribut"
"You cannot edit this attribute","Vous ne pouvez pas éditer cet attribut"
"You cannot email this product to a friend","Vous ne pouvez pas envoyer d'email de ce produit à un ami"
"You cannot remove system attribute from this set.","Vous ne pouvez pas retirer cet attribut système de ce groupe"
"You cannot send more than %d emails at a time","Vous ne pouvez pas envoyer plus de %d emails à la fois"
"You cannot update this attribute","Vous ne pouvez pas mettre à jour cet attribut"
"You have exceeded limit of %d sends in an hour","Vous avez dépassé la limite de %d envois par heure"
"You have no items to compare.","Vous n'avez pas d'articles à comparer."
"You have to specify at least one recipient","Vous devez indiquer au moins un destinataire"
"You may also be interested in the following product(s)","Vous pourriez également être intéressé par le(s) produit(s) suivant(s)"
"Zoom In","Zoom avant"
"Zoom Out","Zoom arrière"
"[GLOBAL]","[GLOBAL]"
"and","et"
"cache refresh needed","rafraichissement du cache nécessaire"
"categories","catégories"
"comma separated","séparés par des virgules"
"each","pièce"
"ex. http://domain.com","Par ex : http://domaine.com"
"leave blank if its not an image","Laisser vide si ce n\'est pas une image"
"must be in the allowed values list","doit être présent dans la liste des valeurs autorisées"
"per page","par page"
"products","Produits"
"px.","px."
"save","économisez"
"select all","tout sélectionner"
"unselect all","tout désélectionner"
"whether to show ""All"" option in the ""Show X Per Page"" dropdown","Si vous voulez afficher l'option ""Tout"" dans la liste déroulante ""Afficher X par page"""
"x","x"
"Prices","Prix"
"[STORE VIEW]","[VUE MAGASIN]"
"Display Settings","Paramètres d'affichage"
"Display Mode","Mode d'affichage"
"CMS Block","Bloc CMS"
"Is Anchor","Afficher les produits des sous-catégories récursivement"
"Name","Nom"
"Page Title","Titre de page"
"Meta Keywords","Mots-clés méta"
